"Polyglot","DESCRIPTION","ENGLISH","FRENCH / FRANÇAIS","SPANISH / ESPAÑOL","GERMAN / DEUTSCH","ITALIAN / ITALIANO","PORTUGUESE / PORTUGUÊS (BR)","PORTUGUESE / PORTUGUÊS (PT)","RUSSIAN / РУССКИЙ","GREEK / ΕΛΛΗΝΙΚΑ","TURKISH / TÜRKÇE","DANISH / DANSK","NORWEGIAN (NB) / NORSK BOKMÅL","SWEDISH / SVENSKA","DUTCH / NEDERLANDS","POLISH / POLSKI","FINNISH / SUOMI","JAPANESE / 日本語","SIMPLIFIED CHINESE / 简体中文","TRADITIONAL CHINESE / 繁体中文","KOREAN / 한국어","CZECH / ČEŠTINA","HUNGARIAN / MAGYAR","ROMANIAN / ROMÂNĂ","THAI / ภาษาไทย","BULGARIAN / БЪЛГАРСКИ","עברית / HEBREW"," العربية / ARABIC","BOSNIAN","ÍSLENSKA / ICELANDIC","GAEILGE / IRISH"
"LANGUAGE_CONTRIBUTORS","","","Moréo, nicoco007","","SteffoSpieler, Syskoh, Ubivis, XCraftTM","Daniele1926, dany_ev3, Vincentmrl","dniid, Inexorável","","larynai, Stormmonster","","","dovenreje","","DavySW, Simme63","Eris, Koentech, MattDarkPro, Spoorloos","Pexa_Dico","","Kamiya4047, Syrayra","乾杯君, WGzeyu, 暗黑幻想Dark师, 包子侯爵, 四条, 椰子, Thunderz2016","XoF eLtTiL, Kamiya4047","Cryental, Helloyunho, SieR","","diamond.coder2, Jol3l, Tricky","vladislavs14","","","noam15A, tomerh1307, RedSnow","Harp","","Gilli Galli",""
